Model,Accuracy,Precision,Recall,F1-Score
RoBERTa,0.9197985277024409,0.815677966101695,0.7623762376237624,0.7881269191402251
CodeBERT,0.9228981015110422,0.8227848101265823,0.7722772277227723,0.7967313585291114
